,Sample,Date,Time,Counted.by.,Site,Weather,DO..mg.L.,Saturation....,Temperature..â..C.,Volume.Filtered..ml.,Frames.counted,Volume.counted,Species,Classification,Cells.Counted,Cells.L
646,1112,2019/04/02,20:00:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,17,4250
647,1115,2019/04/03,07:40:00,Lorna,Primary sump,,7.36,85.5,12.3,NA,20,NA,Ceratium furca,Dinoflagellate,404,101000
648,1116,2019/04/03,07:40:00,Lorna,After Drumfilter,,7.3,84.7,12.5,NA,20,NA,Ceratium furca,Dinoflagellate,190,47500
650,1118,2019/04/03,11:00:00,Lorna,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,75,18750
651,1119,2019/04/03,14:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,25,6250
652,1120,2019/04/03,14:00:00,Lorna,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,22,5500
653,1121,2019/04/03,17:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,45,11250
668,1136,2019/04/05,08:30:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
669,1137,2019/04/05,08:30:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
670,1138,2019/04/06,08:00:00,Pertunia,Primary sump,,7.84,92.4,13.3,NA,20,NA,Ceratium furca,Dinoflagellate,51,12750
672,1140,2019/04/06,18:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,8,2000
673,1141,2019/04/07,08:00:00,Pertunia,Primary sump,,8.05,93.3,12.1,NA,20,NA,Ceratium furca,Dinoflagellate,27,6750
675,1144,2019/04/08,16:00:00,Pertunia,Primary sump,,8.2,97.3,13.5,NA,20,NA,Ceratium furca,Dinoflagellate,106,26500
679,1147,2019/04/09,12:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,6,1500
680,1148,2019/04/09,16:10:00 AM,Pertunia,Primary sump,,8.73,104,13.5,NA,20,NA,Ceratium furca,Dinoflagellate,23,5750
681,1148,2019/04/09,16:10:00 AM,Pertunia,Primary sump,,8.73,104,13.5,NA,20,NA,Ceratium furca,Dinoflagellate,2,500
682,1149,2019/04/10,07:35:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,10,2500
684,1158,2019/04/13,12:10:00,Sarah,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,11,2750
685,1159,2019/04/14,07:30:00,Sarah,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,90,22500
686,1160,2019/04/14,07:30:00,Sarah,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,35,8750
687,1161,2019/04/14,12:20:00,Sarah,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,31,7750
690,1171,2019/04/17,20:30:00,Sarah,Primary sump,,9.99,103,16.2,NA,20,NA,Ceratium furca,Dinoflagellate,21,5250
691,1172,2019/04/17,20:30:00,Sarah,After Drumfilter,,9.39,95,15.4,NA,20,NA,Ceratium furca,Dinoflagellate,22,5500
692,1173,2019/04/18,07:45:00,Sarah,Primary sump,,10.2,101,15.2,NA,20,NA,Ceratium furca,Dinoflagellate,28,7000
693,1174,2019/04/18,07:45:00,Sarah,After Drumfilter,,9.96,97.1,14,NA,20,NA,Ceratium furca,Dinoflagellate,13,3250
694,1175,2019/04/19,07:45:00,Share,Primary sump,,9.29,92.6,15.2,NA,20,NA,Ceratium furca,Dinoflagellate,12,3000
695,1176,2019/04/19,09:55:00,Share,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,4,1000
696,1177,2019/04/19,15:30:00,Share,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,5,1250
697,1186,2019/04/30,09:30:00,Pertunia,Primary sump,,8.62,88.1,13.7,NA,20,NA,Ceratium furca,Dinoflagellate,5,1250
698,1187,2019/06/02,09:00:00,Pertunia,Primary sump,,,NA,14,NA,20,NA,Ceratium furca,Dinoflagellate,4,1000
699,1188,2019/05/03,09:00:00,Pertunia,Primary sump,,10.39,102.5,14.7,NA,20,NA,Ceratium furca,Dinoflagellate,6,1500
700,1191,2019/05/10,09:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,6,1500
701,1192,2019/05/20,11:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
702,1194,2019/05/22,11:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,10,2500
703,1196,2019/05/28,11:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,10,2500
704,1198,2019/06/03,11:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,5,1250
708,1209,2019/06/26,08:00:00,Lorna,Primary sump,,,NA,13.6,NA,20,NA,Ceratium furca,Dinoflagellate,3,750
709,1210,2019/06/27,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,2,500
710,1211,2019/06/28,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
711,1216,2019/07/05,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
712,1217,2019/07/17,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
713,1218,2019/07/18,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,1,250
714,1219,2019/07/19,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium furca,Dinoflagellate,2,500
753,1313,2019/11/20,15:00:00,Pertunia,Primary sump,,9.55,97.8,16.8,NA,20,NA,Ceratium furca,Dinoflagellate,3,750
942,NA,2018/12/18,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
943,NA,2018/12/19,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
944,NA,2018/12/20,10:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,2,100
945,NA,2018/12/21,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,2,100
946,NA,2018/12/21,12:50,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,5,250
947,NA,2018/12/22,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,26,1300
948,NA,2018/12/22,15:40,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
949,NA,2018/12/23,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,2,100
950,NA,2018/12/23,15:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
951,NA,2018/12/24,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,2,100
952,NA,2018/12/24,12:23,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,3,150
953,NA,2018/12/25,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,3,150
954,NA,2018/12/25,13:41,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,2,100
955,NA,2018/12/26,13:39,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
956,NA,2018/12/27,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
957,NA,2018/12/28,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
958,NA,2018/12/31,08:00,Lorna,Primary sump,,,NA,NA,5000,20,0.004,Ceratium fusus,Dinoflagellate,1,50
959,1,2019/01/02,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
960,2,2019/01/02,16:21:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
961,3,2019/01/03,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
962,4,2019/01/04,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
963,5,2019/01/07,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
964,6,2019/01/08,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
965,7,2019/01/09,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
966,8,2019/01/10,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
967,9,2019/01/11,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
968,10,2019/01/11,12:24:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,8,400
969,11,2019/01/14,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
970,12,2019/01/15,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
971,13,2019/01/16,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
972,14,2019/01/17,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
973,15,2019/01/18,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
974,16,2019/01/21,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
975,17,2019/01/22,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
976,18,2019/01/23,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,9,450
977,19,2019/01/24,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
978,20,2019/01/24,15:09:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,24,1200
979,21,2019/01/25,08:16:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,33,1650
980,22,2019/01/25,10:41:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,171,8550
981,23,2019/01/25,12:23:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,14,700
982,24,2019/01/26,08:36:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
983,27,2019/01/27,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
984,29,2019/01/27,17:20:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
985,30,2019/01/28,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
986,32,2019/01/30,08:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
987,34,2019/01/31,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
988,35,2019/01/31,13:30:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
989,36,2019/01/31,17:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,7,350
990,37,2019/02/01,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
991,38,2019/02/01,12:58:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
992,43,2019/02/04,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
993,45,2019/02/05,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
994,46,2019/02/05,16:26:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
995,47,2019/02/06,08:20:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
996,48,2019/02/06,14:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
997,49,2019/02/07,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
998,50,2019/02/08,08:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
999,51,2019/02/11,09:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,10,500
1000,52,2019/02/11,14:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1001,54,2019/02/11,16:17:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1002,56,2019/02/11,18:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1003,57,2019/02/11,20:00:00,Pertunia,Primary sump,,9.12,NA,13.3,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1004,58,2019/02/11,20:30:00,Pertunia,Sec Swirler,,9.12,NA,13.1,NA,20,NA,Ceratium fusus,Dinoflagellate,10,500
1005,59,2019/02/11,20:48:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1006,63,2019/02/12,08:00:00,Pertunia,Primary sump,,9.84,NA,11.8,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
1007,64,2019/02/12,08:30:00,Pertunia,Sec Swirler,,8.74,NA,11.6,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
1008,65,2019/02/12,08:30:00,Pertunia,After Drumfilter,,9.23,NA,11.2,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1009,76,2019/02/12,18:30:00,Pertunia,After Drumfilter,,8.62,87,15.2,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1010,77,2019/02/12,18:35:00,Pertunia,Broodstock,,8.25,NA,16.7,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1011,79,2019/02/12,18:45:00,Pertunia,Settlement,,8.34,84.5,17.6,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1012,80,2019/02/12,18:50:00,Pertunia,Nursery office,,7.26,73.6,15.6,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1013,148,2019/02/15,00:05:00,Pertunia,Primary sump,,7.96,73.7,11.4,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1014,150,2019/02/15,02:14:00,Pertunia,Primary sump,,8.42,77.8,11.8,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1015,174,2019/02/17,19:14:00,Pertunia,Nursery SV,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1016,175,2019/02/17,19:25:00,Pertunia,Amaza 5 settlement,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
1017,178,2019/02/17,22:31:00,Pertunia,Broodstock,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1018,186,2019/02/18,01:00:00,Pertunia,Primary sump,,7.68,76.1,14.3,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1019,187,2019/02/18,01:00:00,Pertunia,After Drumfilter,,9.55,92.4,15.6,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1020,191,2019/02/18,01:00:00,Pertunia,Nursery SV,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1021,192,2019/02/18,02:00:00,Pertunia,Primary sump,,9.16,87.9,13.6,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1022,194,2019/02/18,03:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1023,196,2019/02/18,04:00:00,Pertunia,Primary sump,,9.5,89.5,13,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1024,197,2019/02/18,04:00:00,Pertunia,After Drumfilter,,8.51,82.2,13.8,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1025,202,2019/02/18,09:50:00,Sarah,Primary sump,,9.31,NA,13.1,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1026,203,2019/02/18,09:50:00,Sarah,After Drumfilter,,9.21,87.6,13.1,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1027,206,2019/02/18,14:00:00,Sarah,Primary sump,,9.68,93,13.7,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
1028,212,2019/02/18,17:50:00,Pertunia,Primary sump,,9.68,95.2,14,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1029,214,2019/02/18,19:00:00,Pertunia,Primary sump,,9.81,94.7,14,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1030,228,2019/02/19,07:44:00,Lorna,Primary sump,,8.7,81,12.4,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1031,229,2019/02/19,07:44:00,Lorna,After Drumfilter,,8.3,96.4,11.8,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1032,230,2019/02/19,09:45:00,Lorna,Primary sump,,9.86,91.2,12.6,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1033,254,2019/02/20,07:48:00,Sarah,Primary sump,,9.88,91.7,11.8,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1034,260,2019/02/20,14:06:00,Lorna,Primary sump,,9.92,9.91,14.6,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1035,263,2019/02/20,18:00:00,Pertunia,Primary sump,,9.41,91.3,14,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1036,272,2019/02/21,01:00:00,Pertunia,Primary sump,,9.49,91.4,13,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1037,273,2019/02/21,01:00:00,Pertunia,After Drumfilter,,7.91,74.3,13,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1038,274,2019/02/21,03:00:00,Pertunia,Primary sump,,9.64,91.4,12.5,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1039,275,2019/02/21,03:00:00,Pertunia,After Drumfilter,,9.43,87.9,12.5,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1040,276,2019/02/21,06:00:00,Pertunia,Primary sump,,9.77,92.5,12.8,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1041,298,2019/02/21,20:00:00,Pertunia,After Drumfilter,,8.19,81.4,15.4,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
1042,302,2019/02/22,00:00:00,Pertunia,After Drumfilter,,7.77,7.65,14.9,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1048,374,2019/02/24,06:00:00,Pertunia,Primary sump,,9.41,90.2,13.3,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1049,376,2019/02/24,08:06:00,Lorna,Primary sump,,8.87,77.3,12.9,NA,20,NA,Ceratium fusus,Dinoflagellate,7,350
1050,378,2019/02/24,09:05:00,Lorna,Primary sump,,9.08,87.4,12.9,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1051,379,2019/02/24,09:11:00,Lorna,After Drumfilter,,9.15,77.2,13.2,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1052,380,2019/02/24,10:37:00,Lorna,Primary sump,,9.06,89.2,13.2,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1053,382,2019/02/24,11:47:00,Lorna,Primary sump,,8.88,85.9,13.6,NA,20,NA,Ceratium fusus,Dinoflagellate,12,600
1054,383,2019/02/24,11:51:00,Lorna,After Drumfilter,,8.94,84.1,13.3,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1055,385,2019/02/24,12:56:00,Lorna,After Drumfilter,,8.63,83.2,13.5,NA,20,NA,Ceratium fusus,Dinoflagellate,12,600
1056,385,2019/02/24,12:56:00,Lorna,After Drumfilter,,8.63,83.2,13.5,NA,20,NA,Ceratium fusus,Dinoflagellate,8,400
1057,387,2019/02/24,14:40:00,Lorna,After Drumfilter,,8.76,86.1,13.7,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1058,388,2019/02/24,15:36:00,Lorna,Primary sump,,8.68,87.2,14,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1059,389,2019/02/24,17:00:00,Pertunia,Primary sump,,9.26,89.2,13.7,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1060,390,2019/02/24,17:00:00,Pertunia,After Drumfilter,,8.56,83.1,13.8,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1061,391,2019/02/24,19:00:00,Pertunia,Primary sump,,8.95,86.8,14,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1062,392,2019/02/24,19:00:00,Pertunia,After Drumfilter,,7.58,72.9,13.7,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1063,393,2019/02/24,21:00:00,Pertunia,Primary sump,,8.74,87.1,15.8,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1064,398,2019/02/25,01:00:00,Pertunia,After Drumfilter,,7.81,77.1,14.9,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1065,399,2019/02/25,03:00:00,Pertunia,Primary sump,,8.89,87.1,14.1,NA,20,NA,Ceratium fusus,Dinoflagellate,1,50
1066,400,2019/02/25,03:00:00,Pertunia,After Drumfilter,,7.36,71.6,14.3,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1067,401,2019/02/25,05:00:00,Pertunia,Primary sump,,8.75,84.2,13.7,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1068,402,2019/02/25,05:00:00,Pertunia,After Drumfilter,,7.75,74.7,13.7,NA,20,NA,Ceratium fusus,Dinoflagellate,4,200
1069,403,2019/02/25,06:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,8,400
1072,570,2019/03/04,08:00:00,Pertunia,Primary sump,,9.43,98.9,17.3,NA,20,NA,Ceratium fusus,Dinoflagellate,10,500
1073,571,2019/03/04,08:00:00,Pertunia,After Drumfilter,,9.17,95,17,NA,20,NA,Ceratium fusus,Dinoflagellate,3,150
1074,572,2019/03/04,13:00:00,Pertunia,Primary sump,,9.4,96.3,16.6,NA,20,NA,Ceratium fusus,Dinoflagellate,6,300
1075,573,2019/03/04,13:00:00,Pertunia,After Drumfilter,,7.81,79.8,16.5,NA,20,NA,Ceratium fusus,Dinoflagellate,2,100
1076,574,2019/03/04,17:00:00,Pertunia,Primary sump,,9.12,94.8,17.4,NA,20,NA,Ceratium fusus,Dinoflagellate,10,500
1077,575,2019/03/04,17:00:00,Pertunia,After Drumfilter,,8.12,83.9,17.2,NA,20,NA,Ceratium fusus,Dinoflagellate,5,250
1078,956,2019/03/26,14:45:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,13,3250
1079,957,2019/03/26,15:45:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,14,3500
1080,958,2019/03/26,16:45:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,12,3000
1081,959,2019/03/26,18:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,16,4000
1082,960,2019/03/26,18:05:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,6,1500
1083,961,2019/03/26,07:20:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,20,5000
1084,962,2019/03/26,07:25:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,10,2500
1085,963,2019/03/26,08:20:00,Pertunia,Primary sump,,,NA,10,NA,20,NA,Ceratium fusus,Dinoflagellate,7,1750
1086,964,2019/03/26,08:25:00,Pertunia,After Drumfilter,,,NA,10,NA,20,NA,Ceratium fusus,Dinoflagellate,8,2000
1087,965,2019/03/26,09:20:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,17,4250
1088,966,2019/03/26,09:25:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,4,1000
1089,967,2019/03/26,23:20:00,Pertunia,Primary sump,,,NA,10,NA,20,NA,Ceratium fusus,Dinoflagellate,11,2750
1090,968,2019/03/26,23:25:00,Pertunia,After Drumfilter,,,NA,10,NA,20,NA,Ceratium fusus,Dinoflagellate,5,1250
1091,970,2019/03/27,06:00:00,Sarah,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,250
1092,974,2019/03/27,10:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,500
1093,975,2019/03/27,13:00:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,1,250
1094,980,2019/03/27,18:30:00,Pertunia,Primary sump,,,NA,10,NA,20,NA,Ceratium fusus,Dinoflagellate,9,2250
1095,981,2019/03/27,18:30:00,Pertunia,After Drumfilter,,,NA,10,NA,20,NA,Ceratium fusus,Dinoflagellate,2,500
1096,984,2019/03/27,20:40:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,12,3000
1097,985,2019/03/27,20:40:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,5,1250
1098,986,2019/03/27,21:30:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,10,2500
1099,987,2019/03/27,21:30:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,9,2250
1100,988,2019/03/27,23:00:00,Pertunia,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,750
1101,989,2019/03/27,23:00:00,Pertunia,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,2,500
1102,992,2019/03/28,07:30:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,8,2000
1103,993,2019/03/28,07:30:00,Lorna,After Drumfilter,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,3,750
1104,994,2019/03/28,08:20:00,Lorna,Primary sump,,,NA,NA,NA,20,NA,Ceratium fusus,Dinoflagellate,5,1250
